,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bambanglipuro,24,ID,1536116855,60,-7.95,110.28,83.24,4.47
1,Puerto Ayora,0,EC,1536116855,100,-0.74,-90.35,71.18,11.97
2,Kutum,12,SD,1536116855,89,14.2,24.66,67.31,11.52
3,Haines Junction,76,CA,1536116855,34,60.75,-137.51,55.43,1.9
4,Georgetown,20,GY,1536116400,100,6.8,-58.16,75.2,3.58
5,Alizai,20,PK,1536114600,69,33.94,71.55,77.0,4.7
6,Te Anau,0,NZ,1536116857,69,-45.41,167.72,52.73,3.47
7,Poum,8,MK,1536116857,95,41.28,20.71,47.24,1.68
